title,href,date,city,theatre,price,type,subclass,status,min_price,max_price
新蜂音乐节成都站,https://detail.damai.cn/item.htm?id=931530073611,2025.07.05-07.06,成都,成都西部博览城北广场,189-1197,演唱会,音乐节,售票中,189.0,1197.0
开心麻花摇滚音乐大戏燃烧PLUS,https://detail.damai.cn/item.htm?id=934562615565,2025.06.29-07.06,北京,地质礼堂剧场,80-1080,话剧歌剧,话剧,售票中,80.0,1080.0
汽水音乐Chill派对,https://detail.damai.cn/item.htm?id=931484508631,2025.06.14-06.15,日照,日照海滨国家森林公园,98,演唱会,音乐节,售票中,98.0,98.0
2025五月天5525回到那一天25周年巡回演唱会哈尔滨站,https://detail.damai.cn/item.htm?id=920072454850,2025.06.13-06.15,哈尔滨,哈尔滨国际会展中心体育场,355-1555,演唱会,其他,售票中,355.0,1555.0
林忆莲回响Resonance2025巡回演唱会青岛站,https://detail.damai.cn/item.htm?id=929501383436,2025.08.09 周六 19:30,青岛,青岛国信体育中心体育场,280-980,演唱会,其他,售票中,280.0,980.0
芒禾大洋湾音乐节,https://detail.damai.cn/item.htm?id=923369803859,2025.06.14-06.15,盐城,大洋湾生态旅游景区,199-658,演唱会,音乐节,售票中,199.0,658.0
2025首届美好生活博览会,https://detail.damai.cn/item.htm?id=934022589328,2025.06.27-06.29,北京,北京展览馆,0,展览休闲,展会,售票中,0.0,0.0
四海福临2025德云社岳云鹏孙越相声专场杭州站,https://detail.damai.cn/item.htm?id=931073494102,2025.08.09 周六 19:00,杭州,杭州奥体中心体育馆,499-1599,曲苑杂坛,其他,售票中,499.0,1599.0
第三届大秦青年音乐节,https://detail.damai.cn/item.htm?id=930045813617,2025.06.14-06.15,咸阳,聚梦悠咕数字文汇中心东侧绿地,138-288,演唱会,音乐节,售票中,138.0,288.0
TheChainsmokers烟鬼2025演唱会广州站,https://detail.damai.cn/item.htm?id=928375120772,2025.06.26 周四 19:30,广州,南沙音乐秀场,388-1200,演唱会,其他,售票中,388.0,1200.0
2025潍坊新青年音乐节,https://detail.damai.cn/item.htm?id=921501882302,2025.07.05-07.06,潍坊,山东潍坊国际风筝放飞场,198-680,演唱会,音乐节,售票中,198.0,680.0
2025MTA天漠音乐节,https://detail.damai.cn/item.htm?id=927505931126,2025.06.27-06.29,张家口,河北怀来官厅国家湿地公园,88-568,演唱会,音乐节,售票中,88.0,568.0
中华恐龙园NEO音乐嘉年华,https://detail.damai.cn/item.htm?id=931566974641,2025.06.14-06.15,常州,中华恐龙园旅游度假区,198-985,演唱会,音乐节,售票中,198.0,985.0
2025超燃焰火音乐嘉年华苏州站,https://detail.damai.cn/item.htm?id=930752359049,2025.06.21-06.22,苏州,苏州高铁新城富翔路大草坪(地铁2号线/富翔路站),119-520,演唱会,音乐节,售票中,119.0,520.0
2025MC法老生于未来演唱会北京站,https://detail.damai.cn/item.htm?id=925441619998,2025.06.28 周六 19:00,北京,首都体育馆,377-1177,演唱会,其他,售票中,377.0,1177.0
2025象山东海城市音乐节,https://detail.damai.cn/item.htm?id=934052706862,2025.06.28-06.29,宁波,象山县商会大厦北侧空地,280-580,演唱会,音乐节,售票中,280.0,580.0
FWD富卫保险呈献BIGFOURHAPPYTOSEEYOUALL演唱会2025,https://detail.damai.cn/item.htm?id=934943722017,2025.08.09-08.11,中国香港,香港体育馆,480-1180,演唱会,其他,售票中,480.0,1180.0
2025陈小春生旦净末丑巡回演唱会广州站,https://detail.damai.cn/item.htm?id=926772373619,2025.08.23 周六 19:00,广州,宝能广州国际体育演艺中心,480-1380,演唱会,其他,售票中,480.0,1380.0
2025陈小春生旦净末丑巡回演唱会长沙站,https://detail.damai.cn/item.htm?id=926869768797,2025.07.19 周六 19:30,长沙,湖南国际会展中心·芒果馆,480-1380,演唱会,其他,售票中,480.0,1380.0
711霉霉专场Lover限定TaylorSwift霉粉狂欢音乐节,https://detail.damai.cn/item.htm?id=933485742625,2025.07.11 周五 20:00,深圳,MAO Livehouse深圳(海上世界),88-188,演唱会,音乐节,售票中,88.0,188.0
四海福临2025德云社岳云鹏孙越相声专场沈阳站,https://detail.damai.cn/item.htm?id=930589792300,2025.07.19 周六 19:30,沈阳,三生制药体育馆(原辽宁体育馆),380-1680,曲苑杂坛,其他,售票中,380.0,1680.0
万物安生时李健世界巡回演唱会南昌站,https://detail.damai.cn/item.htm?id=921360120344,2025.06.21 周六 19:30,南昌,南昌国际体育中心体育馆,380-1880,演唱会,其他,售票中,380.0,1880.0
2025小沈阳你们的巡回演唱会邯郸站,https://detail.damai.cn/item.htm?id=925284917975,2025.07.05 周六 19:30,邯郸,邯郸体育中心,280-1499,演唱会,其他,售票中,280.0,1499.0
2025新裤子北海怪兽巡回演唱会苏州站,https://detail.damai.cn/item.htm?id=921053871908,2025.07.05 周六 19:30,苏州,苏州市体育中心体育场,280-1380,演唱会,其他,售票中,280.0,1380.0
829霉霉专场Lover七夕限定TaylorSwift霉粉狂欢音乐节,https://detail.damai.cn/item.htm?id=932643379683,2025.08.29 周五 20:00,广州,池沼 CHIZHAO LIVEHOUSE,88-188,演唱会,音乐节,售票中,88.0,188.0
卫兰OUTOFFRAME世界巡回演唱会厦门站,https://detail.damai.cn/item.htm?id=926284741723,2025.06.28 周六 19:00,厦门,厦门奥林匹克体育中心-凤凰体育馆,480-1280,演唱会,其他,售票中,480.0,1280.0
吴宣仪931演唱会成都站,https://detail.damai.cn/item.htm?id=926177654438,2025.06.28 周六 19:30,成都,华熙LIVE·528 M空间,580-1380,演唱会,其他,售票中,580.0,1380.0
水洞沟九点音乐节,https://detail.damai.cn/item.htm?id=932548464249,2025.06.28-06.29,银川,灵武市水洞沟景区,99-498,演唱会,音乐节,售票中,99.0,498.0
UMEET遇见蓝莓音乐节,https://detail.damai.cn/item.htm?id=924594116688,2025.06.28-06.29,贵阳,多彩贵州城3号广场,169-599,演唱会,音乐节,售票中,169.0,599.0
822霉霉专场Lover限定TaylorSwift霉粉狂欢音乐节,https://detail.damai.cn/item.htm?id=933927154178,2025.08.22 周五 20:00,西安,西演SPACE·塞斯拾陆,88-188,演唱会,音乐节,售票中,88.0,188.0
年度新戏开心麻花志怪喜剧作妖记,https://detail.damai.cn/item.htm?id=934531777262,2025.07.11-07.20,杭州,杭州演艺·红星剧院,80-1180,话剧歌剧,话剧,售票中,80.0,1180.0
朱孝天启点的起点巡回演唱会南京站,https://detail.damai.cn/item.htm?id=930954572563,2025.07.19 周六 19:30,南京,南京太阳宫,280-1320,演唱会,其他,售票中,280.0,1320.0
于贞2025PINK巡演上海站,https://detail.damai.cn/item.htm?id=935040963078,2025.07.26 周六 20:00,上海,MODERN SKY LAB上海,249-439,演唱会,livehouse,售票中,249.0,439.0
2025MC法老生于未来巡回演唱会济南站,https://detail.damai.cn/item.htm?id=921912911389,2025.07.05 周六 19:00,济南,济南奥林匹克体育中心体育馆,377-1177,演唱会,其他,售票中,377.0,1177.0
曾轶可迷人的危险CaptivatingDanger巡演南京站,https://detail.damai.cn/item.htm?id=930036606796,2025.07.26 周六 19:30,南京,南京太阳宫,380-1680,演唱会,其他,售票中,380.0,1680.0
中文原创音乐剧海上钢琴师,https://detail.damai.cn/item.htm?id=933879958469,2025.07.25-07.30,上海,上海西岸大剧院-大剧场,180-1080,话剧歌剧,音乐剧,售票中,180.0,1080.0
2025门尼开门巡演南京站,https://detail.damai.cn/item.htm?id=930445541838,2025.07.13 周日 20:00,南京,今世缘·稻香演艺中心,188-328,演唱会,livehouse,售票中,188.0,328.0
喜力星银2025杭州草莓音乐节,https://detail.damai.cn/item.htm?id=919508784191,2025.06.14-06.15,杭州,大运河杭钢公园,269-659,演唱会,音乐节,售票中,269.0,659.0
音乐剧明星弗洛朗莫特FlorentMothe音乐会,https://detail.damai.cn/item.htm?id=936868805551,2025.07.11 周五 19:30,上海,交通银行前滩31演艺中心 · 大剧场,180-880,音乐会,其他,售票中,180.0,880.0
823霉霉专场Lover限定TaylorSwift霉粉狂欢音乐节,https://detail.damai.cn/item.htm?id=934932980119,2025.08.23 周六 20:00,成都,成都CH8冇独空间·完美店,88-188,演唱会,音乐节,售票中,88.0,188.0
2025MTA天漠音乐节大巴停车,https://detail.damai.cn/item.htm?id=935438578523,2025.06.27-06.29,张家口,永定河源官厅水库·国家湿地公园,50-4380,演唱会,音乐节,售票中,50.0,4380.0
音乐剧危险游戏中文版暑期档16周岁以下观众谢绝入场,https://detail.damai.cn/item.htm?id=930557347976,2025.08.08-08.17,上海,上海共舞台,180-580,话剧歌剧,音乐剧,售票中,180.0,580.0
2025在西宁超级演唱会,https://detail.damai.cn/item.htm?id=931684036338,2025.06.14 周六 20:00,西宁,青海体育中心体育场,80-580,演唱会,其他,售票中,80.0,580.0
范玮琪我们之间的事巡回演唱会佛山站,https://detail.damai.cn/item.htm?id=925271624958,2025.06.21 周六 19:00,佛山,佛山国际体育文化演艺中心,380-1280,演唱会,其他,售票中,380.0,1280.0
